k,acc_sliding,acc_dualmemory,avg_tokens_sliding,avg_tokens_dualmemory,acc_per_token_sliding,acc_per_token_dualmemory,avg_retrieval_ms_dualmemory,avg_simops_dualmemory
2,0.9333333333333333,0.95,41.63333333333333,60.61666666666667,0.022417934347477984,0.01567225735496288,158.07871023813883,7.633333333333334
4,0.9666666666666667,0.95,78.46666666666667,97.45,0.01231945624468989,0.009748589020010261,189.82026179631552,7.633333333333334
6,0.95,0.9833333333333333,102.23333333333333,121.21666666666667,0.009292468209977176,0.008112195792657775,184.22933419545492,7.633333333333334
8,0.95,0.9666666666666667,117.75,136.73333333333332,0.008067940552016985,0.007069722086786934,192.12064743041992,7.633333333333334
10,0.95,0.9666666666666667,127.71666666666667,146.7,0.007438340075688372,0.006589411497386958,189.8449738820394,7.633333333333334
12,0.9666666666666667,0.9833333333333333,133.68333333333334,152.66666666666666,0.007231018576237377,0.006441048034934498,194.98865604400635,7.633333333333334
